File,Latitude Start,Longitude Start,Depth,Size Fraction Lower Threshold,Size Fraction Upper Threshold,Temperature,Salinity Sensor,Oxygen Sensor,Nitrate Sensor,Chlorophyll Sensor
ERR562669,-32.2188,17.7054,5,180,2000,12.83445,34.845292,249.351417,0.405607,1.551493
ERR562631,-8.9109,-140.2845,150,0.8,5,22.1151,35.88072,161.3185,5.023264,0.051638
ERR562378,-32.2401,17.7103,5,0.8,5,12.83445,34.845292,249.351417,0.405607,1.551493
ERR562685,-8.9058,-142.6179,0-140,5,20,23.695465,36.272197,159.902145,4.263645,0.025524
ERR562596,18.4917,39.8583,60,180,2000,27.588632,38.834904,178.256286,-0.148095,0.159383
ERR562527,-8.7484,-17.9179,5,20,180,25.02619,36.42324,199.1195,0.263475,0.050608
ERR562433,-25.826,-111.7294,188,5,20,20.171605,35.845669,210.5781,-0.73316,0.176523
ERR562531,-31.0292,4.6742,50,180,2000,16.781464,35.688121,231.611429,,0.442185
ERR562656,33.9179,32.898,5,5,20,20.460612,39.425208,207.738375,-0.447961,0.01585
ERR562363,0.0033,71.6428,5,5,20,30.496383,35.091133,185.243833,2.575786,0.026898
ERR562607,-31.0266,4.665,5,0.8,2000,16.832058,35.68685,231.914833,,0.201517
ERR562633,42.1646,17.736,50,180,2000,14.9571,38.5178,225.596667,,0.083
ERR562564,-20.4091,-3.1759,5,0.8,2000,19.776808,36.376225,215.650833,0.168013,0.324315
ERR562549,6.0001,73.8955,5,0.8,5,29.980283,34.56155,189.25475,-1.47882,0.006724
ERR562407,-29.4985,37.9926,5,20,180,22.222092,35.3215,209.639083,-0.166794,0.118772
ERR562612,-16.9554,-100.6911,5,180,2000,22.762017,35.988467,209.228083,2.597182,0.07328
ERR562676,-12.9119,-96.1101,50,20,180,20.995942,35.539612,221.370462,3.350768,0.375762
ERR562657,-60.2287,-60.6476,5,0.8,5,1.84402,33.71972,338.2982,24.423039,0.109555
ERR562583,-9.4153,66.303,5,180,2000,29.845967,34.181417,187.598417,-1.608495,0
ERR562632,-9.0714,-140.5973,120,0.8,5,25.221787,35.797875,175.895625,4.458677,0.127609
ERR562614,37.4956,15.4945,5,0.8,5,20.66055,38.133342,210.106333,,0.102723
ERR562375,-31.0536,4.6742,5,5,20,16.948525,35.690458,234.236,2.096308,0.545147
ERR562679,39.3991,19.3997,50,5,20,15.161277,38.475705,229.547682,,0.201016
ERR562536,18.5918,66.622,5,5,20,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562522,14.5741,69.9988,5,180,2000,29.165033,36.050392,186.562083,-0.301436,0
ERR562547,-21.0292,-35.3498,150,0.8,5,21.643283,36.724683,203.814833,0.580918,0.150865
ERR562365,-34.8986,18.03,5,20,180,15.022117,,240.270333,,0.410699
ERR562379,-25.8073,-111.7364,5,180,2000,25.14875,36.402683,200.538167,-1.567491,0.013449
ERR562455,39.0609,5.9422,55,5,20,16.151933,37.8232,,,0.434367
ERR562721,2.0299,-84.5546,30,0.8,5,26.532035,34.344808,203.127654,3.886605,0.737378
ERR562604,-16.9587,-100.6751,90,0.8,5,19.881449,35.687249,211.54555,1.411516,0.378549
ERR562524,-8.9543,-139.26,115,5,20,25.457696,35.823513,180.423618,5.510087,0.32046
ERR562550,-8.6996,-17.9926,100,20,180,25.009775,36.424988,197.68775,0.159226,0.127475
ERR562420,-62.2024,-49.2382,90,20,180,-0.783906,34.400828,329.042778,30.42205,0.421649
ERR562729,20.8222,63.5133,17,0.8,5,25.37395,36.549267,211.606583,0.367767,0.353707
ERR562525,-62.2231,-49.2139,90,0.8,5,-0.78154,34.319478,325.402987,33.109231,0.540091
ERR562478,-62.2231,-49.2139,90,0.8,2000,-0.78154,34.319478,325.402987,33.109231,0.540091
ERR562582,42.1735,17.7252,55,5,20,15.194062,38.472729,224.786708,,0.0599
ERR562730,-5.2686,-85.248,40,20,180,24.434364,34.735666,194.962603,13.402006,0.520968
ERR562368,23.3733,37.2167,5,180,2000,25.905408,39.719567,187.913833,0.241845,0.006724
ERR562436,42.1735,17.7252,55,0.8,5,15.194062,38.472729,224.786708,,0.0599
ERR562719,-47.2002,-58.2034,5,5,20,7.321517,34.048642,305.012167,17.091069,0.310844
ERR562382,-5.2537,-85.2221,5,180,2000,25.28045,34.806233,203.89075,12.415348,0.58042
ERR562710,-12.9488,-96.0293,5,5,20,25.2512,35.835267,200.233917,4.590737,0.287892
ERR562666,18.5918,66.622,5,5,20,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562534,-34.9449,17.9189,5,5,20,15.033492,35.323317,238.916333,2.450991,0.250054
ERR562699,-16.9672,53.9337,5,20,180,27.8684,34.566667,191.68,,0.176565
ERR562649,27.1483,34.8117,5,180,2000,24.994433,39.938375,190.8255,-0.007566,0.006724
ERR562416,-21.0716,-35.3964,150,20,180,22.383088,36.91025,204.831538,0.642162,0.118545
ERR562492,42.456,17.9393,5,20,180,18.142625,38.114217,218.536917,,0.151466
ERR562520,-34.9363,17.9366,5,180,2000,15.033492,35.323317,238.916333,2.450991,0.250054
ERR562674,37.051,1.9378,5,5,20,23.82575,37.4911,,,0.0812
ERR562602,18.4417,39.8567,60,0.8,5,27.589917,38.916583,175.384083,0.08645,0.181406
ERR562616,1.9928,-84.5766,5,0.8,5,27.617558,33.3676,198.635833,1.210114,0.28167
ERR562506,-12.991,-95.9893,5,20,180,25.2512,35.835267,200.233917,4.590737,0.287892
ERR562690,-8.8999,-142.5461,140,0.8,5,23.706525,36.272675,160.4895,3.67243,0.020173
ERR562467,37.4956,15.4945,5,5,20,20.66055,38.133342,210.106333,,0.102723
ERR562454,-31.0507,4.6603,5,180,2000,16.948525,35.690458,234.236,2.096308,0.545147
ERR562512,-20.9354,-35.1803,5,0.8,2000,23.349542,37.101367,206.194333,0.030608,0.033622
ERR562629,19.0359,64.511,5,180,2000,26.354275,36.621025,201.211667,-0.139576,0.134009
ERR562501,-62.14,-49.3273,5,20,180,0.758658,34.351058,345.494833,28.881967,0.139594
ERR562592,34.453,14.9538,5,5,20,21.472817,38.378467,197.550333,,0.048936
ERR562493,20.807,63.513,20,180,2000,25.268343,36.545436,208.654571,0.387014,0.489547
ERR562508,-16.9763,-100.6794,90,20,180,20.445864,35.746607,211.719429,2.410016,0.373279
ERR562635,-8.8946,-142.5944,140,20,180,23.873341,36.306141,161.9655,3.432049,0.026743
ERR562431,42.2038,17.715,5,0.8,5,17.321979,38.201396,221.457208,,0.0419
ERR562642,18.4,39.86,5,180,2000,27.667592,38.63335,183.628667,-0.323509,0.207982
ERR562479,36.5533,-6.5669,5,180,2000,20.337847,36.629607,,,0.098404
ERR562412,0.0023,71.6311,5,20,180,30.496383,35.091133,185.243833,2.575786,0.026898
ERR562422,18.5918,66.622,5,5,20,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562619,39.3888,19.3905,5,0.8,5,18.342533,38.182917,218.016833,,0.121845
ERR562584,-30.052,-43.2619,120,180,2000,19.659973,36.316532,221.291727,-0.043465,0.147128
ERR562683,-31.027,4.6802,50,0.8,2000,16.787411,35.687803,231.683361,,0.42458
ERR562535,-12.9723,-96.0122,50,0.8,5,20.649431,35.544655,216.790338,1.501977,0.366887
ERR566174,39.8607,17.4105,200,180,2000,17.256933,38.116167,220.987333,,0.228614
ERR562542,-62.0385,-49.529,5,0.8,5,0.67108,34.35388,343.4373,27.501159,0.065273
ERR562661,18.3967,39.875,5,5,20,27.59865,38.646858,184.061167,-0.927087,0.186697
ERR562540,-16.9534,53.9601,75,5,20,24.89426,34.910755,192.55925,0.244232,0.394226
ERR562702,-9.1504,-140.5216,5,0.8,5,26.518986,35.396729,190.724,5.111856,0.286662
,,,,,,,,,,
,,,,,,-0.819633,33.17585,67.5342,-2.201764,-0.0247
,,,,,,30.496383,40.196433,345.494833,33.109231,1.551493
,,,,,,,,,,
,,,,,,,Salinity Sensor,Oxygen Sensor,Nitrate Sensor,
